mutation,biosensor,tau_frames,n_exp_jumps,n_exp_total,n_unexp_jumps,n_unexp_total,tau_min,p_exp,p_unexp,RR
Unknown_Mutation,ERK (MAPK),26,146169,1490271,404112,4274336,130,0.09808216089556866,0.09454380750600795,1.0374255435961353
Unknown_Mutation,ERK (MAPK),27,144873,1482795,405408,4281812,135,0.09770264938848594,0.09468141058038046,1.031909524684791
Unknown_Mutation,ERK (MAPK),28,143543,1475556,406738,4289051,140,0.09728061828897039,0.09483170053235553,1.0258238304582477
Unknown_Mutation,ERK (MAPK),29,142590,1468039,407691,4296568,145,0.09712957217076658,0.09488759400526188,1.0236277269858942
Unknown_Mutation,ERK (MAPK),30,141706,1460759,408575,4303848,150,0.09700847299246487,0.09493248832207829,1.0218680106998077
Wild_Type,AKT (PI3K),0,539726,3468876,502546,4405381,0,0.15559103294554202,0.1140754908599279,1.3639304268836383
Wild_Type,AKT (PI3K),1,534689,3451893,507583,4422364,5,0.1548973273505291,0.11477639561103518,1.3495573416981959
Wild_Type,AKT (PI3K),2,528884,3434773,513388,4439484,10,0.15397931682821542,0.1156413673300771,1.331524526069548
Wild_Type,AKT (PI3K),3,523646,3418315,518626,4455942,15,0.15318833986920458,0.11638975552195248,1.316166866939689
Wild_Type,AKT (PI3K),4,518345,3401416,523927,4472841,20,0.1523909454180259,0.11713517203048353,1.3009836650802657
Wild_Type,AKT (PI3K),5,513389,3384359,528883,4489898,25,0.1516946045026547,0.11779398997482794,1.2877957910677036
Wild_Type,AKT (PI3K),6,508316,3366793,533956,4507464,30,0.1509792850347497,0.11846040256782972,1.2745126790220036
Wild_Type,AKT (PI3K),7,503655,3349680,538617,4524577,35,0.15035913878340618,0.11904250938817043,1.2630709782261005
Wild_Type,AKT (PI3K),8,499589,3333028,542683,4541229,40,0.14989042996338464,0.11950135084577325,1.2542990426679872
Wild_Type,AKT (PI3K),9,495781,3316655,546491,4557602,45,0.14948223435961835,0.11990757420239855,1.2466454713469486
Wild_Type,AKT (PI3K),10,492662,3300279,549610,4573978,50,0.14927889429954255,0.1201601756720299,1.2423325237721896
Wild_Type,AKT (PI3K),11,489422,3283981,552850,4590276,55,0.14903313996031037,0.12043938098711275,1.237412038644214
Wild_Type,AKT (PI3K),12,486482,3267581,555790,4606676,60,0.14888138962737266,0.12064881489386273,1.234006233367039
Wild_Type,AKT (PI3K),13,482767,3251644,559505,4622613,65,0.14846859004245236,0.12103652198442742,1.2266428976003982
