mutation,exp_id,site_id,biosensor,signal_col,jump_threshold_theta,p_exposed,p_unexposed,risk_difference,RR,n_nodes,n_spatial_edges
PTEN_del,3,20,ERKKTR_ratio,ERKKTR_ratio,0.0850351,0.1290656887755102,0.0829855867609082,0.0460801020146019,1.5552783780075503,136999,352872
PTEN_del,3,20,FoxO3A_ratio,FoxO3A_ratio,0.0495782,0.1484947111472742,0.1045180134507874,0.0439766976964867,1.4207571139609665,136999,352872
PTEN_del,4,17,ERKKTR_ratio,ERKKTR_ratio,0.0664449999999999,0.1350407768049532,0.0789125303049636,0.0561282464999895,1.7112716609526726,162055,509482
PTEN_del,4,17,FoxO3A_ratio,FoxO3A_ratio,0.0407599999999999,0.1521029518822065,0.1139932369090665,0.0381097149731399,1.3343155787701724,162055,509482
PTEN_del,4,18,ERKKTR_ratio,ERKKTR_ratio,0.0711491999999999,0.1356102701666986,0.0793836798682481,0.0562265902984504,1.7082890386508778,168050,578566
PTEN_del,4,18,FoxO3A_ratio,FoxO3A_ratio,0.0456299999999998,0.1567629100693366,0.1133085563953731,0.0434543536739635,1.3835046095048298,168050,578566
PTEN_del,4,19,ERKKTR_ratio,ERKKTR_ratio,0.0696542,0.1353062580893413,0.0802011953792961,0.0551050627100451,1.6870853040211722,140518,392382
PTEN_del,4,19,FoxO3A_ratio,FoxO3A_ratio,0.0430055999999999,0.1628912071535022,0.113080547453444,0.0498106597000582,1.440488314053888,140518,392382
PTEN_del,4,20,ERKKTR_ratio,ERKKTR_ratio,0.077179,0.1274565854355749,0.0819221181122668,0.0455344673233081,1.5558262941994156,132683,378523
PTEN_del,4,20,FoxO3A_ratio,FoxO3A_ratio,0.04312,0.1640226540254701,0.1134585600254159,0.0505640940000541,1.4456613409224237,132683,378523
PTEN_del,5,17,ERKKTR_ratio,ERKKTR_ratio,0.0813400000000001,0.1260042197516838,0.089722201293739,0.0362820184579448,1.4043817241973602,284402,1524107
PTEN_del,5,17,FoxO3A_ratio,FoxO3A_ratio,0.0572300000000001,0.1478055857816467,0.1055983735541746,0.042207212227472,1.3996956658221509,284402,1524107
PTEN_del,5,18,ERKKTR_ratio,ERKKTR_ratio,0.0806580000000001,0.1304522740747014,0.0871303736168601,0.0433219004578413,1.4972077894253213,279271,1470499
PTEN_del,5,18,FoxO3A_ratio,FoxO3A_ratio,0.0595399999999999,0.1524733758820116,0.1054212849379107,0.0470520909441009,1.4463243923825526,279271,1470499
PTEN_del,5,20,ERKKTR_ratio,ERKKTR_ratio,0.0681734999999998,0.1274320534515496,0.0879176966264023,0.0395143568251472,1.449447134551985,325717,2025409
PTEN_del,5,20,FoxO3A_ratio,FoxO3A_ratio,0.0528818000000001,0.1477808369250284,0.1033582748126714,0.0444225621123569,1.4297920238400774,325717,2025409
PTEN_del,6,17,ERKKTR_ratio,ERKKTR_ratio,0.0645054,0.1232178290585728,0.084229485617418,0.0389883434411547,1.4628823642381628,297626,1694129
PTEN_del,6,17,FoxO3A_ratio,FoxO3A_ratio,0.05125,0.1488718857432162,0.1091941883367111,0.0396776974065051,1.3633682159361358,297626,1694129
PTEN_del,6,18,ERKKTR_ratio,ERKKTR_ratio,0.0785990999999999,0.1184790383239888,0.0869249696681067,0.0315540686558821,1.363003504934894,263064,1346879
PTEN_del,6,18,FoxO3A_ratio,FoxO3A_ratio,0.0614599999999998,0.1410672094426658,0.1025741855470522,0.0384930238956136,1.3752700905234714,263064,1346879
PTEN_del,6,19,ERKKTR_ratio,ERKKTR_ratio,0.0772975999999999,0.1186730466912228,0.0879219597590611,0.0307510869321617,1.3497543391483895,260801,1336441
PTEN_del,6,19,FoxO3A_ratio,FoxO3A_ratio,0.0660199999999999,0.138521690560417,0.1057499558258135,0.0327717347346034,1.3098983302516325,260801,1336441
PTEN_del,6,20,ERKKTR_ratio,ERKKTR_ratio,0.0706200000000001,0.1166945724180247,0.0842171874239416,0.032477384994083,1.385638442549676,281048,1515488
PTEN_del,6,20,FoxO3A_ratio,FoxO3A_ratio,0.0532292999999999,0.1450225167502654,0.1073366085357051,0.0376859082145603,1.3511002325178203,281048,1515488
PTEN_del,6,21,ERKKTR_ratio,ERKKTR_ratio,0.0645306,0.1306111814188937,0.0817248685230007,0.048886312895893,1.5981816034630192,199575,770048
PTEN_del,6,21,FoxO3A_ratio,FoxO3A_ratio,0.0433975999999999,0.1531448959884777,0.1103079233946676,0.04283697259381,1.3883399421866085,199575,770048
PTEN_del,6,22,ERKKTR_ratio,ERKKTR_ratio,0.076808,0.1380766615368097,0.0781624601211938,0.0599142014156158,1.7665342329644775,133887,369683
PTEN_del,6,22,FoxO3A_ratio,FoxO3A_ratio,0.0464015999999999,0.1712906003937007,0.1035265104808877,0.0677640899128129,1.6545578480144276,133887,369683
PTEN_del,6,23,ERKKTR_ratio,ERKKTR_ratio,0.0660699999999999,0.1318048032450347,0.0829054146071826,0.0488993886378521,1.5898214111773543,165260,555338
PTEN_del,6,23,FoxO3A_ratio,FoxO3A_ratio,0.04759,0.1532899335896539,0.1071691607244484,0.0461207728652054,1.4303548945744795,165260,555338
PTEN_del,6,24,ERKKTR_ratio,ERKKTR_ratio,0.0739699999999999,0.1304876861676238,0.0837098951870322,0.0467777909805916,1.5588083807305753,169225,567053
PTEN_del,6,24,FoxO3A_ratio,FoxO3A_ratio,0.05871,0.1787275790730906,0.0948683156500841,0.0838592634230064,1.8839543829608616,169225,567053
WT,1,1,ERKKTR_ratio,ERKKTR_ratio,0.0365427999999999,0.131455463101896,0.0748671504485457,0.0565883126533502,1.7558496926130764,356632,2389504
WT,1,1,FoxO3A_ratio,FoxO3A_ratio,0.0348700000000001,0.1539764144047561,0.1153670296782775,0.0386093847264785,1.3346656738424147,356632,2389504
WT,1,2,ERKKTR_ratio,ERKKTR_ratio,0.0332984999999999,0.1246652603862782,0.0704848569381051,0.0541804034481731,1.7686814700603086,341603,2188412
WT,1,2,FoxO3A_ratio,FoxO3A_ratio,0.0326900000000001,0.1485201910269322,0.1231925753071423,0.0253276157197898,1.2055936866052468,341603,2188412
WT,1,3,ERKKTR_ratio,ERKKTR_ratio,0.0358367,0.1188891171837545,0.0730114986220659,0.0458776185616885,1.6283615516395276,356470,2385276
WT,1,3,FoxO3A_ratio,FoxO3A_ratio,0.0341800000000001,0.1554130221174655,0.1147321639390711,0.0406808581783943,1.354572395235202,356470,2385276
WT,1,4,ERKKTR_ratio,ERKKTR_ratio,0.03862,0.1296144787405479,0.0689074311664097,0.0607070475741381,1.8809942055093027,378022,2702454
WT,1,4,FoxO3A_ratio,FoxO3A_ratio,0.0353999999999998,0.1582212404940876,0.1070907514155996,0.0511304890784879,1.477450091652265,378022,2702454
WT,2,1,ERKKTR_ratio,ERKKTR_ratio,0.0319799999999999,0.1250942337963102,0.0744643272135719,0.0506299065827383,1.6799216279430844,380961,2709809
WT,2,1,FoxO3A_ratio,FoxO3A_ratio,0.0336400000000001,0.1527630484084123,0.1188047978567949,0.0339582505516173,1.2858323162381875,380961,2709809
WT,2,2,ERKKTR_ratio,ERKKTR_ratio,0.0301299999999999,0.1293443971646662,0.0791289566775394,0.0502154404871268,1.634602585394385,401211,3043438
WT,2,2,FoxO3A_ratio,FoxO3A_ratio,0.0333100000000001,0.1502999886610695,0.1195442859303322,0.0307557027307372,1.2572745530360274,401211,3043438
WT,2,3,ERKKTR_ratio,ERKKTR_ratio,0.0308999999999999,0.1303239649317015,0.073683910962705,0.0566400539689964,1.7686895718342734,357176,2406605
WT,2,3,FoxO3A_ratio,FoxO3A_ratio,0.03305,0.151038062283737,0.118661503724493,0.032376558559244,1.272848038690084,357176,2406605
WT,2,4,ERKKTR_ratio,ERKKTR_ratio,0.0270494,0.1303786455649205,0.0803780673517959,0.0500005782131246,1.6220674353152065,399785,3017124
WT,2,4,FoxO3A_ratio,FoxO3A_ratio,0.03315,0.1480188882998566,0.1235941875232708,0.0244247007765858,1.1976201410926957,399785,3017124
WT,3,1,ERKKTR_ratio,ERKKTR_ratio,0.0690007,0.1182273723770748,0.0749094761072943,0.0433178962697804,1.578269913511815,304919,1747102
WT,3,1,FoxO3A_ratio,FoxO3A_ratio,0.0353099999999999,0.1508686836560251,0.1116637083179834,0.0392049753380417,1.3510986329273444,304919,1747102
WT,3,2,ERKKTR_ratio,ERKKTR_ratio,0.0584513999999999,0.1218609279341575,0.0705571812717494,0.051303746662408,1.7271229623645643,320890,1953178
WT,3,2,FoxO3A_ratio,FoxO3A_ratio,0.03489,0.1551511008987522,0.1106530109180546,0.0444980899806976,1.4021407968161952,320890,1953178
WT,3,3,ERKKTR_ratio,ERKKTR_ratio,0.078952,0.1247285207899623,0.0728445857490181,0.0518839350409441,1.7122552006776082,281357,1469571
WT,3,3,FoxO3A_ratio,FoxO3A_ratio,0.03621,0.1579385415302897,0.1044701673517827,0.0534683741785069,1.5118051931367429,281357,1469571
WT,3,4,ERKKTR_ratio,ERKKTR_ratio,0.0630969999999999,0.1224755929933387,0.0703999384625528,0.0520756545307859,1.7397116484481878,267122,1340888
WT,3,4,FoxO3A_ratio,FoxO3A_ratio,0.03336,0.1550389159979029,0.1149320566412995,0.0401068593566034,1.348961469312048,267122,1340888
WT,4,1,ERKKTR_ratio,ERKKTR_ratio,0.0549893999999999,0.1269130953215964,0.0699846770391324,0.0569284182824639,1.8134411801405037,240965,1069377
WT,4,1,FoxO3A_ratio,FoxO3A_ratio,0.03569,0.1608007119606958,0.1141577218789716,0.0466429900817241,1.4085837498682252,240965,1069377
WT,4,2,ERKKTR_ratio,ERKKTR_ratio,0.0603128,0.1229479967856732,0.0708975429254755,0.0520504538601977,1.734164425344204,255683,1229076
WT,4,2,FoxO3A_ratio,FoxO3A_ratio,0.0352000000000001,0.1576349370581134,0.1124807395993836,0.0451541974587298,1.4014393719276117,255683,1229076
WT,4,3,ERKKTR_ratio,ERKKTR_ratio,0.049695,0.1265694805699817,0.0697163074493656,0.0568531731206161,1.815493178004417,315834,1885004
WT,4,3,FoxO3A_ratio,FoxO3A_ratio,0.0362500000000001,0.1582528418670523,0.1133822779535373,0.0448705639135149,1.3957458319183038,315834,1885004
WT,4,4,ERKKTR_ratio,ERKKTR_ratio,0.0656167999999999,0.1313542609220203,0.068737704118409,0.0626165568036113,1.910949203304009,270715,1379532
WT,4,4,FoxO3A_ratio,FoxO3A_ratio,0.0370699999999999,0.1682916531660235,0.1071191700026055,0.0611724831634179,1.5710694282072013,270715,1379532
WT,5,1,ERKKTR_ratio,ERKKTR_ratio,0.0466829999999999,0.1261020618376717,0.0759452782719071,0.0501567835657646,1.6604332054217796,391640,2934020
WT,5,1,FoxO3A_ratio,FoxO3A_ratio,0.0373000000000001,0.1549973550815816,0.115057864081614,0.0399394909999676,1.3471252601355204,391640,2934020
WT,5,2,ERKKTR_ratio,ERKKTR_ratio,0.06308,0.1347918676612466,0.0737381107604364,0.0610537569008102,1.8279810300424484,401605,3094386
WT,5,2,FoxO3A_ratio,FoxO3A_ratio,0.0386976,0.1624659313462295,0.1063850439711906,0.0560808873750389,1.527150107586794,401605,3094386
WT,5,3,ERKKTR_ratio,ERKKTR_ratio,0.0458697,0.131451802969597,0.0764049575163704,0.0550468454532265,1.7204616983319727,366242,2549788
WT,5,3,FoxO3A_ratio,FoxO3A_ratio,0.0347599999999999,0.1564722700013946,0.1176952316202602,0.0387770383811344,1.329469918596594,366242,2549788
WT,5,4,ERKKTR_ratio,ERKKTR_ratio,0.0521731,0.1305846884120722,0.0729279517023621,0.0576567367097101,1.7905986026458311,340710,2172960
WT,5,4,FoxO3A_ratio,FoxO3A_ratio,0.0337899999999999,0.1601756856433983,0.1131589936319031,0.0470166920114952,1.4154923130938817,340710,2172960
WT,6,1,ERKKTR_ratio,ERKKTR_ratio,0.060816,0.1297936248996608,0.0727323281180307,0.05706129678163,1.784538296217198,249871,1186880
WT,6,1,FoxO3A_ratio,FoxO3A_ratio,0.03407,0.1567866974266386,0.1090456089519432,0.0477410884746953,1.4378084448658084,249871,1186880
WT,6,2,ERKKTR_ratio,ERKKTR_ratio,0.0433089999999999,0.1331577068195196,0.0767577411550454,0.0563999656644741,1.7347788615945596,292522,1612541
WT,6,2,FoxO3A_ratio,FoxO3A_ratio,0.0302581999999999,0.1558760719975594,0.1170137177826929,0.0388623542148665,1.3321179341300655,292522,1612541
WT,6,3,ERKKTR_ratio,ERKKTR_ratio,0.0494852,0.13814794653118,0.074930509739452,0.0632174367917279,1.8436808585921447,284116,1515115
WT,6,3,FoxO3A_ratio,FoxO3A_ratio,0.0321805000000001,0.1586960659035915,0.1136712838012809,0.0450247821023105,1.3960963630974943,284116,1515115
WT,6,4,ERKKTR_ratio,ERKKTR_ratio,0.0472000000000001,0.1325126778995583,0.078720667939126,0.0537920099604322,1.6833276618286452,318206,1917620
WT,6,4,FoxO3A_ratio,FoxO3A_ratio,0.0340699999999999,0.1588893798792164,0.1135145209564426,0.0453748589227737,1.3997273524167435,318206,1917620
