mutation,exp_id,site_id,biosensor,signal_col,jump_threshold_theta,p_exposed,p_unexposed,risk_difference,RR,n_nodes,n_spatial_edges
PIK3CA_H1047R,2,16,ERKKTR_ratio,ERKKTR_ratio,0.1470878,0.21139106018061773,0.06784915018447953,0.1435419099961382,3.115603653190241,158618,453272
PIK3CA_H1047R,2,16,FoxO3A_ratio,FoxO3A_ratio,0.1042980000000001,0.22488984491551886,0.06883161909164452,0.15605822582387435,3.2672461854499404,158618,453272
PIK3CA_H1047R,3,13,ERKKTR_ratio,ERKKTR_ratio,0.15088900000000008,0.23018500486854918,0.06050794612539604,0.16967705874315314,3.804211175694448,194387,686917
PIK3CA_H1047R,3,13,FoxO3A_ratio,FoxO3A_ratio,0.10567760000000005,0.20896986685353888,0.07144223727874281,0.13752762957479608,2.92501851584254,194387,686917
PIK3CA_H1047R,3,14,ERKKTR_ratio,ERKKTR_ratio,0.15065000000000017,0.2174934112673851,0.06095720397650023,0.15653620729088488,3.567968953287811,198665,718054
PIK3CA_H1047R,3,14,FoxO3A_ratio,FoxO3A_ratio,0.09433999999999987,0.19600075457460855,0.07814859959193407,0.11785215498267448,2.508052039295127,198665,718054
PIK3CA_H1047R,3,15,ERKKTR_ratio,ERKKTR_ratio,0.14723799999999987,0.2189398482517665,0.0599379611206545,0.159001887131112,3.6527743713377707,200187,735101
PIK3CA_H1047R,3,15,FoxO3A_ratio,FoxO3A_ratio,0.09324400000000001,0.1933032088790788,0.07857969033411319,0.1147235185449656,2.4599639939680644,200187,735101
PIK3CA_H1047R,3,16,ERKKTR_ratio,ERKKTR_ratio,0.14810800000000016,0.22595215199463822,0.06170517116375678,0.16424698083088143,3.6618025318330814,187416,642612
PIK3CA_H1047R,3,16,FoxO3A_ratio,FoxO3A_ratio,0.10516900000000007,0.19852251124960896,0.07617630725563729,0.12234620399397167,2.606092608078185,187416,642612
PIK3CA_H1047R,4,13,ERKKTR_ratio,ERKKTR_ratio,0.15786899999999993,0.22692286394595493,0.060303392502924574,0.16661947144303035,3.7630198655067324,193406,692199
PIK3CA_H1047R,4,13,FoxO3A_ratio,FoxO3A_ratio,0.10935000000000006,0.19907235621521335,0.07491050397242591,0.12416185224278745,2.65746918868001,193406,692199
PIK3CA_H1047R,4,14,ERKKTR_ratio,ERKKTR_ratio,0.1678924999999999,0.22882919827762968,0.06064633237172215,0.16818286590590753,3.773174556955186,188394,653374
PIK3CA_H1047R,4,14,FoxO3A_ratio,FoxO3A_ratio,0.1121399999999999,0.19874629476650954,0.07589176560080416,0.12285452916570538,2.6188123730304094,188394,653374
PIK3CA_H1047R,4,15,ERKKTR_ratio,ERKKTR_ratio,0.18386080000000024,0.23729313452400458,0.060517082303501314,0.17677605222050327,3.921093441583115,179002,580816
PIK3CA_H1047R,4,15,FoxO3A_ratio,FoxO3A_ratio,0.12012,0.21153200537153088,0.07130491839897249,0.1402270869725584,2.966583653990677,179002,580816
PIK3CA_H1047R,4,16,ERKKTR_ratio,ERKKTR_ratio,0.18058150000000003,0.23144498931977497,0.06215316315205328,0.1692918261677217,3.723784560305665,185508,627511
PIK3CA_H1047R,4,16,FoxO3A_ratio,FoxO3A_ratio,0.11683399999999994,0.20641651127742727,0.07355201934968127,0.13286449192774602,2.8064016882538763,185508,627511
PIK3CA_H1047R,5,13,ERKKTR_ratio,ERKKTR_ratio,0.09081150000000004,0.19235051259451685,0.06887222987750148,0.12347828271701537,2.7928602418803354,201320,744776
PIK3CA_H1047R,5,13,FoxO3A_ratio,FoxO3A_ratio,0.06837000000000004,0.18008960573476704,0.0965365585486531,0.08355304718611394,1.865506792890326,201320,744776
PIK3CA_H1047R,5,14,ERKKTR_ratio,ERKKTR_ratio,0.10048299999999995,0.1871279761904762,0.07105897319844891,0.11606900299202728,2.6334179593037077,211882,817357
PIK3CA_H1047R,5,14,FoxO3A_ratio,FoxO3A_ratio,0.07355,0.1745668791935107,0.09736260265319015,0.07720427654032054,1.7929561704027732,211882,817357
PIK3CA_H1047R,5,15,ERKKTR_ratio,ERKKTR_ratio,0.11866350000000009,0.19244510183183525,0.0681456438856466,0.12429945794618864,2.824026465356645,206039,775792
